English,Chinese,Notes
systematic review,系统综述,
pairwise meta-analysis,两两比较荟萃分析,
scoping review,范围综述,
umbrella review,伞状综述,
network meta-analysis,网状荟萃分析,
PRISMA statement,PRISMA 声明,
protocol registration,方案注册,
PROSPERO,PROSPERO 注册平台,
review eligibility criteria,综述纳入资格标准,
title and abstract screening,题目和摘要筛选,
full-text review,全文筛选,
data extraction,数据提取,
risk of bias,偏倚风险,
certainty of evidence,证据确定性,
GRADE approach,GRADE 方法,
between-study heterogeneity,研究间异质性,
I-squared,I 方统计量,
fixed-effect model,固定效应模型,
random-effects model,随机效应模型,
leave-one-out analysis,逐一剔除分析,
publication bias assessment,发表偏倚评估,
small-study effects,小样本研究效应,
trim-and-fill method,剪补法,
